Horse Name and ID,Image URL,Country of Origin / Age,Colour / Sex,Import Type,Season Stakes*,Total Stakes*,No. of 1-2-3-Starts*,No. of starts in past 10race meetings,Current Stable Location(Arrival Date),Import Date,PP Pre-import races footage,Horse,Brand No.,Status,Age,Color,Sex,Country of Origin,Unnamed: 7.1,Unnamed: 7,Unnamed: 13
DEAL COMPLETED (J378),/racing/content/Images/horse/J378_s.jpg,AUS / 3,Bay / Gelding,PPG,$0,$0,0-0-0-1,1,Hong Kong(20/02/2024),20/2/2024,,DEAL COMPLETED,J378,,3,Bay,Gelding,AUS,,,
FOXHUNTER GO (J356),/racing/content/Images/horse/J356_s.jpg,AUS / 4,Chestnut / Gelding,PPG,$0,$0,0-0-0-1,1,Hong Kong(15/06/2024),25/1/2024,,FOXHUNTER GO,J356,,4,Chestnut,Gelding,AUS,,,
NATURAL HIGH (J365),/racing/content/Images/horse/J365_s.jpg,AUS / 3,Bay / Gelding,PP,$0,$0,0-0-0-1,1,Hong Kong(20/06/2024),20/2/2024,,NATURAL HIGH,J365,,3,Bay,Gelding,AUS,,,
YEAH BUDDY (J430),/racing/content/Images/horse/J430_s.jpg,AUS / 4,Bay / Gelding,PP,$0,$0,0-0-0-1,1,Hong Kong(18/03/2024),18/3/2024,,YEAH BUDDY,J430,,4,Bay,Gelding,AUS,,,
POLARIS (J404),/racing/content/Images/horse/J404_s.jpg,AUS / 3,Bay / Gelding,PP,"$37,200","$37,200",0-0-0-1,1,Hong Kong(12/03/2024),12/3/2024,,POLARIS,J404,,3,Bay,Gelding,AUS,,,
JUBILANT WINNER (J346),/racing/content/Images/horse/J346_s.jpg,AUS / 3,Bay / Gelding,PPG,$0,$0,0-0-0-1,1,Conghua(26/06/2024),25/1/2024,,JUBILANT WINNER,J346,,3,Bay,Gelding,AUS,,,
DEAL COMPLETED (J378),/racing/content/Images/horse/J378_s.jpg,AUS / 3,Bay / Gelding,PPG,$0,$0,0-0-0-1,1,Hong Kong(20/02/2024),20/2/2024,,DEAL COMPLETED,J378,,3,Bay,Gelding,AUS,,,
FOXHUNTER GO (J356),/racing/content/Images/horse/J356_s.jpg,AUS / 4,Chestnut / Gelding,PPG,$0,$0,0-0-0-1,1,Hong Kong(15/06/2024),25/1/2024,,FOXHUNTER GO,J356,,4,Chestnut,Gelding,AUS,,,
NATURAL HIGH (J365),/racing/content/Images/horse/J365_s.jpg,AUS / 3,Bay / Gelding,PP,$0,$0,0-0-0-1,1,Hong Kong(20/06/2024),20/2/2024,,NATURAL HIGH,J365,,3,Bay,Gelding,AUS,,,
YEAH BUDDY (J430),/racing/content/Images/horse/J430_s.jpg,AUS / 4,Bay / Gelding,PP,$0,$0,0-0-0-1,1,Hong Kong(18/03/2024),18/3/2024,,YEAH BUDDY,J430,,4,Bay,Gelding,AUS,,,
POLARIS (J404),/racing/content/Images/horse/J404_s.jpg,AUS / 3,Bay / Gelding,PP,"$37,200","$37,200",0-0-0-1,1,Hong Kong(12/03/2024),12/3/2024,,POLARIS,J404,,3,Bay,Gelding,AUS,,,
JUBILANT WINNER (J346),/racing/content/Images/horse/J346_s.jpg,AUS / 3,Bay / Gelding,PPG,$0,$0,0-0-0-1,1,Conghua(26/06/2024),25/1/2024,,JUBILANT WINNER,J346,,3,Bay,Gelding,AUS,,,
UNTOLD RICHES (D414) (Retired),/racing/content/Images/horse/D414_s.jpg,,Bay / Gelding,PPG,,"$1,323,400",2-0-1-7,,,,,UNTOLD RICHES,D414,Retired,,Bay,Gelding,NZ,"Form Records
Other Horses",,
COUNTRY TREASURE (G158) (Retired),/racing/content/Images/horse/G158_s.jpg,,Bay / Gelding,PPG,,"$98,800",0-0-0-5,,,,,COUNTRY TREASURE,G158,Retired,,Bay,Gelding,AUS,"Form Records
Other Horses",,
CHEVALIER PRINCE (D298) (Retired),/racing/content/Images/horse/D298_s.jpg,,Bay / Gelding,PPG,,"$3,898,175",3-4-3-26,,,,,CHEVALIER PRINCE,D298,Retired,,Bay,Gelding,NZ,"Form Records
Other Horses",,
BIG ME (G348) (Retired),/racing/content/Images/horse/G348_s.jpg,,Bay / Gelding,PPG,,"$739,800",1-0-1-2,,,,,BIG ME,G348,Retired,,Bay,Gelding,AUS,"Form Records
Other Horses",,
GO FOR TEA (G040) (Retired),/racing/content/Images/horse/G040_s.jpg,,Bay / Gelding,PPG,,"$715,000",1-1-0-13,,,,,GO FOR TEA,G040,Retired,,Bay,Gelding,AUS,"Form Records
Other Horses",,
FLYING SEASON (G157) (Retired),/racing/content/Images/horse/G157_s.jpg,,Bay / Colt,PPG,,"$2,061,900",2-2-0-7,,,,,FLYING SEASON,G157,Retired,,Bay,Colt,AUS,"Form Records
Other Horses",,
JOYFUL WIN (D451) (Retired),/racing/content/Images/horse/D451_s.jpg,,Bay / Gelding,PPG,,"$4,433,300",5-0-3-20,,,,,JOYFUL WIN,D451,Retired,,Bay,Gelding,AUS,"Form Records
Other Horses",,
REGENCY POET (D010) (Retired),/racing/content/Images/horse/D010_s.jpg,,Bay / Gelding,PPG,,"$1,247,505",1-2-2-25,,,,,REGENCY POET,D010,Retired,,Bay,Gelding,NZ,"Form Records
Other Horses",,
WILL POWER (D093) (Retired),/racing/content/Images/horse/D093_s.jpg,,Brown / Gelding,PPG,,"$10,814,880",8-3-2-21,,,,,WILL POWER,D093,Retired,,Brown,Gelding,NZ,"Form Records
Other Horses",,
PING HAI BRAVO (D123) (Retired),/racing/content/Images/horse/D123_s.jpg,,Bay / Gelding,PPG,,"$7,298,670",6-3-1-26,,,,,PING HAI BRAVO,D123,Retired,,Bay,Gelding,AUS,"Form Records
Other Horses",,
OCTOCONNECT (G056) (Deregistered),/racing/content/Images/horse/G056_s.jpg,,Chestnut / Gelding,PPG,,$0,0-0-0-3,,,,,OCTOCONNECT,G056,Deregistered,,Chestnut,Gelding,AUS,"Form Records
Other Horses",,
KING TOURBILLON (G097) (Retired),/racing/content/Images/horse/G097_s.jpg,,Chestnut / Gelding,PP,,$0,0-0-0-14,,,,,KING TOURBILLON,G097,Retired,,Chestnut,Gelding,AUS,"Form Records
Overseas formrecords
Other Horses",,
HOLI MOLI (G327) (Retired),/racing/content/Images/horse/G327_s.jpg,,Bay / Gelding,PPG,,$0,0-0-0-4,,,,,HOLI MOLI,G327,Retired,,Bay,Gelding,AUS,"Form Records
Other Horses",,
TRIPLE TRIPLE (C359) (Retired),/racing/content/Images/horse/C359_s.jpg,,Bay / Gelding,PPG,,"$4,455,165",3-5-4-39,,,,,TRIPLE TRIPLE,C359,Retired,,Bay,Gelding,NZ,"Form Records
Other Horses",,
GRACYLOVE (D098) (Retired),/racing/content/Images/horse/D098_s.jpg,,Chestnut / Gelding,PPG,,"$2,635,600",3-4-0-24,,,,,GRACYLOVE,D098,Retired,,Chestnut,Gelding,NZ,"Form Records
Other Horses",,
KAI XIN DRAGON (E174) (Retired),/racing/content/Images/horse/E174_s.jpg,,Bay / Brown / Gelding,PP,,"$1,275,850",1-0-1-17,,,,,KAI XIN DRAGON,E174,Retired,,Bay,Gelding,AUS,"Form Records
Overseas formrecords
Other Horses",,
